,player_id,season,competition,club,appearances,goals,assists,yellow,secondyellow,red,minutes,uyl_team,uyl_name,uyl_wins
0,331726,20/21,Champions League,Chelsea FC,5,1,2,0,0,0,231,Chelsea FC,Tammy Abraham,2
1,331726,19/20,Champions League,Chelsea FC,8,3,1,0,0,0,568,Chelsea FC,Tammy Abraham,2
2,331726,19/20,UEFA Super Cup,Chelsea FC,1,0,1,0,0,0,46,Chelsea FC,Tammy Abraham,2
3,236496,17/18,Europa League,Vitesse Arnhem,3,0,0,0,0,0,65,Chelsea FC,Charlie Colkett,2
4,316551,18/19,Europa League Qualifying,Vitesse Arnhem,4,0,1,0,0,1,265,Chelsea FC,Jake Clarke-Salter,2
5,236490,19/20,Europa League Qualifying,Torino FC,3,0,0,0,0,0,115,Chelsea FC,Ola Aina,2
6,303254,20/21,Europa League,AC Milan,4,0,0,0,0,0,360,Chelsea FC,Fikayo Tomori,2
7,303254,19/20,Champions League,Chelsea FC,4,0,1,1,0,0,360,Chelsea FC,Fikayo Tomori,2
8,303254,19/20,UEFA Super Cup,Chelsea FC,1,0,0,0,0,0,35,Chelsea FC,Fikayo Tomori,2
9,337800,19/20,Champions League,Tottenham Hotspur,2,0,0,0,0,0,74,SL Benfica,Gedson Fernandes,0
10,337800,19/20,Champions League,SL Benfica,2,0,0,1,0,0,135,SL Benfica,Gedson Fernandes,0
11,337800,18/19,Europa League,SL Benfica,6,0,1,1,0,0,428,SL Benfica,Gedson Fernandes,0
12,337800,18/19,Champions League,SL Benfica,6,1,1,0,0,0,465,SL Benfica,Gedson Fernandes,0
13,337800,18/19,Champions League Qualifying,SL Benfica,4,1,1,1,0,0,360,SL Benfica,Gedson Fernandes,0
14,258889,17/18,Champions League,Liverpool FC,3,0,0,1,0,0,36,Chelsea FC,Dominic Solanke,1
15,258889,17/18,Champions League Qualifying,Liverpool FC,1,0,0,0,0,0,6,Chelsea FC,Dominic Solanke,1
16,258889,14/15,Champions League,Chelsea FC,1,0,0,0,0,0,17,Chelsea FC,Dominic Solanke,1
